name_1,name_2,region,country,year,type,producer,volume,price_sek,price_pr_litre_sek,apk,alcohol,product_num,score
Zuccardi Q,Malbec,Cuyo,Argentina,2013,Red wine,Familia Zuccardi,750,159,212,0.06839622641509434,14.5,74878,NaN
Amarone della Valpolicella Classico,NA,Venetien,Italy,2014,Red wine,Luigi Righetti,375,99,264,0.056818181818181816,15,2740,86.85714285714286
Tama,Vineyard Selection Pinot Noir,Aconcagua,Chile,2014,Red wine,Anakena,750,139,185.33,0.07554092699508984,14,2758,87
Ossian,NA,Kastilien-León,Spain,2015,White wine,Ossian Vides y Vinos S.L.,750,412,549.33,0.026395791236597306,14.5,79504,87.33333333333333
Concentus,Rosso,Tre Venezie,Italy,2011,Red wine,Corteforte,750,391,521.33,0.026854391652120536,14,79049,NaN
Podere Bertarole,Valpolicella Ripasso Classico Superiore,Venetien,Italy,2015,Red wine,Corteforte,750,296,394.67,0.03547267337269111,14,79544,87
Marco Zunino,Malbec,Cuyo,Argentina,2013,Red wine,Marco Zunino,750,129,172,0.08139534883720931,14,73052,87
Marco Zunino,Malbec Bonarda,Cuyo,Argentina,2013,Red wine,Marco Zunino,750,131,174.67,0.07728860136256942,13.5,75948,87
Petit Chablis,La Chablisienne,Bourgogne,France,2018,White wine,La Chablisienne,375,79,210.67,0.059334504200882904,12.5,5585,87
Château Grand Francais,Bordeaux Supérieur,Bordeaux,France,2015,Red wine,Château Grand Francais,750,171,228,0.05482456140350877,12.5,76120,NaN
Terre di San Zeno,Amarone della Valpolicella Classico,Venetien,Italy,2012,Red wine,Corteforte,750,499,665.33,0.02254520313228022,15,76806,87
Vigneti di Osan,Amarone della Valpolicella Classico,Venetien,Italy,2009,Red wine,Corteforte,750,805,1073.33,0.014441038636765954,15.5,79301,87
Recioto della Valpolicella Classico,Corteforte,Venetien,Italy,2013,Red wine,Corteforte,500,400,800,0.016875,13.5,79438,88.23076923076923
Dimension,Chardonnay,Western Cape,South Africa,2018,White wine,Du Toitskloof Cellar,750,79,105.33,0.12816861293078896,13.5,5006,85.66666666666667
Eco Rojo,NA,Valencia,Spain,2017,Red wine,Hacienda La Serrata,750,79,105.33,0.12816861293078896,13.5,2521,NaN
Tommasi,Baciorosa Appassionato,NA,Italy,2018,Rosé wine,Tommasi Viticoltori,375,58,154.67,0.08404991271739834,13,72433,87.54411764705883
Château Belgrave,Grand Cru,Bordeaux,France,2010,Red wine,Vins et Vignobles Dourthe,1500,1099,732.67,0.019108193320321563,14,3925,91
Château Belgrave,Grand Cru,Bordeaux,France,2010,Red wine,Vins et Vignobles Dourthe,375,325,866.67,0.016153784023907602,14,3925,91
Château La Garde,NA,Bordeaux,France,2012,Red wine,Vins et Vignobles Dourthe,375,174,464,0.029094827586206896,13.5,74194,NaN
Rigogolo Chianti Riserva,Nettuno,Toscana,Italy,2016,Red wine,Nettuno,750,115,153.33,0.08478445183590946,13,2361,NaN
Zuccardi Q,Chardonnay,Cuyo,Argentina,2014,White wine,Familia Zuccardi,750,159,212,0.06367924528301887,13.5,75267,NaN
Delas Domaine de Tourettes,Hermitage,Rhonedalen,France,2014,Red wine,Delas,750,650,866.67,0.015576863165910901,13.5,75456,NaN
Jean d´Alibert,Rouge,Languedoc-Roussillon,France,2014,Red wine,Chantovent,750,119,158.67,0.08193105186865823,13,70660,NaN
Château Rivière,Cuvée Prestige,Languedoc-Roussillon,France,2017,Red wine,Chantovent,750,119,158.67,0.09138463477658033,14.5,71569,NaN
Château d´Hautpoul,Grande Réserve,Languedoc-Roussillon,France,2013,Red wine,Chantovent,750,139,185.33,0.0728430367452652,13.5,75392,NaN
Realzin,Zinfandel,Apulien,Italy,2017,Red wine,Angelo Rocca & Figli Srl,750,110,146.67,0.08863434921933593,13,73255,NaN
Ecoltura,Valpolicella,Venetien,Italy,2017,Red wine,Domaine Wines,750,109,145.33,0.09289203880822954,13.5,79125,NaN
Kallfelz,Sensus Riesling-Hochgewächs Trocken,Mosel,Germany,2014,White wine,WG Albert Kallfelz,750,139,185.33,0.06205147574596665,11.5,70099,NaN
Schild Estate Barossa Valley,Cabernet Sauvignon,South Australia,Australia,2015,Red wine,Schild Estate Wines,750,195,260,0.05576923076923077,14.5,75924,NaN
Bourgogne,Pinot Noir,Bourgogne,France,2016,Red wine,Jean-Paul Brun,750,229,305.33,0.040939311564536736,12.5,77713,86.37817258883248
Barolo Ravera,Cagliero,Piemonte,Italy,2007,Red wine,Cagliero,750,599,798.67,0.01815518299172374,14.5,70498,NaN
Barolo,BelColle Simposio Riserva,Piemonte,Italy,2009,Red wine,Agricola Bosio srl,750,465,620,0.02338709677419355,14.5,72446,90.7838669950739
Angoris,Sauvignon Blanc,Friuli-Venezia-Giulia,Italy,2016,White wine,Tenuta di Angoris,750,129,172,0.08139534883720931,14,75378,87
Angoris,Pignolo,Friuli-Venezia-Giulia,Italy,2012,Red wine,Tenuta di Angoris,750,219,292,0.04794520547945205,14,76633,87
The Golden Stallion,NA,Murcia,Spain,2017,Red wine,Juan Gil,750,99,132,0.11363636363636363,15,71745,NaN
Bruno Clair,Gevrey-Chambertin,Bourgogne,France,2015,Red wine,Domaine Bruno Clair,750,799,1065.33,0.01220279162325289,13,71872,87
Concerto,Reggiano Lambrusco,Emilia-Romagna,Italy,2016,Red wine,Medici Ermete & Figli,750,129,172,0.06686046511627906,11.5,90320,88.11111111111111
Las Pizarras,Chardonnay,Aconcagua,Chile,2016,White wine,Viña Errazuriz S.A,750,559,745.33,0.017441938470207828,13,95471,89
Las Pizarras,Pinot Noir,Aconcagua,Chile,2016,Red wine,Viña Errazuriz S.A,750,799,1065.33,0.01220279162325289,13,95473,89
Tirrenico,Marchesi Mazzei,Toscana,Italy,2016,Red wine,Marchesi Mazzei,750,159,212,0.06367924528301887,13.5,72939,NaN
Domaine Les Fumées Blanches,Sauvignon Blanc,Frankrike sydväst,France,2017,White wine,François Lurton,750,125,166.67,0.07199856002879942,12,77303,NaN
