name_1,name_2,region,country,year,type,producer,volume,price_sek,price_pr_litre_sek,apk,alcohol,product_num,score,taste_body,taste_freshness,taste_tanins,taste_bitternes,taste_sweetnes,url
Barolo,Villaforte,Piemonte,Italy,2014,Red wine,Mare Magnum,750,189,252,0.055555556,14,76420,90.783867,9,8,8,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=76420
Masi Costasera,Amarone Classico Riserva,Venetien,Italy,2006,Red wine,Masi Agricola Spa,1500,1049,699.33,0.022164071,15.5,79136,NaN,11,8,8,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=79136
Prüm Blue,Riesling Kabinett Trocken,Mosel,Germany,2016,White wine,S.A. Prüm,750,159,212,0.054245283,11.5,70012,87,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=70012
Chianti,Castelsina Riserva,Toscana,Italy,2015,Red wine,Cantina Senesi Aretini,750,109,145.33,0.092892039,13.5,73413,88.32145403,6,7,6,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=73413
AIX,Rosé,Provence,France,2017,Rosé wine,SRL Maison Saint Aix,1500,289,192.67,0.067472881,13,76141,89.66666667,6,8,0,0,1,https://www.systembolaget.se/sok-dryck/?searchquery=76141
Ferra,Soave Classico,Venetien,Italy,2014,White wine,Guerrieri Rizzardi,750,149,198.67,0.065435144,13,73417,88.7037037,8,7,0,0,1,https://www.systembolaget.se/sok-dryck/?searchquery=73417
Chateau Maucoil,Côtes du Rhône Villages Blanc,Rhonedalen,France,2016,White wine,Ch. Maucoil,750,156,208,0.060096154,12.5,73446,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=73446
Chateau Maucoil,Côtes du Rhône Villages Rouge,Rhonedalen,France,2014,Red wine,Ch. Maucoil,750,156,208,0.064903846,13.5,71546,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=71546
Blue de Mer,Bernard Magrez,Languedoc-Roussillon,France,2016,Rosé wine,Bernard Magrez,3000,812,270.67,0.046181697,12.5,76639,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=76639
Lioco,Chardonnay,Kalifornien,US,2016,White wine,Lioco,750,229,305.33,0.044214456,13.5,72701,87,8,8,6,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=72701
Lioco,Laguna Pinot Noir,Kalifornien,US,2015,Red wine,Lioco,750,395,526.67,0.024683388,13,73403,87,8,8,6,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=73403
Lioco,Sativa Carignan,Kalifornien,US,2015,Red wine,Lioco,750,339,452,0.027654867,12.5,76529,87,8,8,6,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=76529
Farmers Market,Organic,NA,Italy,NA,Red wine,Winepartners Nordic AB,750,79,105.33,0.132915599,14,74789,NaN,7,8,7,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=74789
Ruffino,Chianti Superiore,Toscana,Italy,2015,Red wine,Ruffino,750,129,172,0.078488372,13.5,76578,86.87878788,6,7,6,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=76578
The Taste of Nebbiolo,NA,Piemonte,Italy,NA,Red wine,Agricola Bosio srl,4500,1116,248,0.056451613,14,71844,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=71844
Rånäs Slott,Ricossa Piemonte Barbera,Piemonte,Italy,2014,Red wine,MGM Mondo del Vino,750,139,185.33,0.072843037,13.5,75491,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=75491
Rånäs Slott,Ricossa Roero Arneis,Piemonte,Italy,2017,White wine,MGM Mondo del Vino,750,129,172,0.075581395,13,75613,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=75613
Langhe,Arneis Cordero di Montezemolo,Piemonte,Italy,2017,White wine,Cordero di Montezemolo,750,226,301.33,0.044801381,13.5,75655,86,8,7,8,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=75655
Langhe,Nebbiolo Cordero di Montezemolo,Piemonte,Italy,2015,Red wine,Cordero di Montezemolo,750,259,345.33,0.040540932,14,74736,86,8,7,8,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=74736
Barolo Monfalletto,Cordero di Montezemolo,Piemonte,Italy,2012,Red wine,Cordero di Montezemolo,750,479,638.67,0.023486307,15,75615,NaN,9,9,8,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=75615
Barolo,Cordero di Montezemolo,Piemonte,Italy,2012,Red wine,Cordero di Montezemolo,750,719,958.67,0.015125121,14.5,75190,88.63636364,9,8,8,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=75190
Vigna del Convento,NA,Abruzzerna,Italy,2011,Red wine,Valle Reale,750,175,233.33,0.055715082,13,75072,NaN,8,7,6,0,0,https://www.systembolaget.se/sok-dryck/?searchquery=75072
Oinoz,Prestigio,Kastilien-León,Spain,2009,Red wine,Agricultura y Bodega Renacimiento SL,750,79,105.33,0.14240957,15,2771,NaN,NA,NA,NA,NA,NA,https://www.systembolaget.se/sok-dryck/?searchquery=2771
Gewurztraminer,Furstentum Vieilles Vignes Grand Cru,Alsace,France,2012,White wine,Domaine Paul Blanck,750,334,445.33,0.029191835,13,82253,89.39371534,8,7,0,0,3,https://www.systembolaget.se/sok-dryck/?searchquery=82253
