nr;Artikelid;Varnummer;Namn;Namn2;Prisinklmoms;Pant;Volymiml;PrisPerLiter;Saljstart;Utgått;Varugrupp;Typ;Stil;Forpackning;Forslutning;Ursprung;Ursprunglandnamn;Producent;Leverantor;Argang;Provadargang;Alkoholhalt;Sortiment;SortimentText;Ekologisk;Etiskt;EtisktEtikett;Koscher;RavarorBeskrivning
7474101;1070698;74741;Diane de Belgrave;;229.00;;750.00;305.33;2016-03-18;0;Rött vin;;;Flaska;;Bordeaux;Frankrike;Vins et Vignobles Dourthe;Carovin AB;2012;;12.50%;BS;Övrigt sortiment;0;0;;0;
9536801;1070701;95368;Chinon Les Petites Roches;Charles Joguet;149.00;;750.00;198.67;2016-07-08;0;Rött vin;Fruktigt & Smakrikt;;Flaska;Natur;Loiredalen;Frankrike;Charles Joguet;Tryffelsvinet AB;2011;;13.50%;TSE;Små partier;0;0;;0;Cabernet franc.
7074301;1070707;70743;Korta Katarina;Plavac Mali;289.00;;750.00;385.33;2016-03-18;0;Rött vin;;;Flaska;;Primorska;Kroatien;Korta Katarina;Triggollo Wine & Spirits AB;2008;;15.00%;BS;Övrigt sortiment;0;0;;0;
7299201;1070989;72992;Corte Cariano;Corvina Monovitigno;168.00;;750.00;224.00;2016-03-21;0;Rött vin;;;Flaska;Natur;Venetien;Italien;Brunelli;Wine Group Sweden AB;2016;;13.50%;BS;Övrigt sortiment;0;0;;0;
8969009;1071028;89690;32 Via dei Birrai Öllåda;;673.20;;4500.00;149.60;2016-03-17;0;Öl;Annan öl;Öl av flera typer/stilar;6 fl à 750 ml;Kapsyl;;Italien;32 Via dei Birrai;Smaksinnet AB;;;6.90%;BS;Övrigt sortiment;0;0;;0;
9537601;1071518;95376;Clos de Vougeot Grand Cru;Jean-Marie Fourrier;2199.00;;750.00;2932.00;2016-08-25;0;Rött vin;;;Flaska;Natur;Bourgogne;Frankrike;Jean-Marie Fourrier;Divine AB;2014;;13.50%;TSE;Små partier;0;0;;0;
9537801;1071534;95378;Charmes Chambertin;Domaine Lignier-Michelot;2200.00;;750.00;2933.33;2016-08-25;0;Rött vin;;;Flaska;Natur;Bourgogne;Frankrike;Domaine Lignier-Michelot;The Wine and Spirits Collective Sweden AB;2014;;13.00%;TSE;Små partier;0;0;;0;
7725401;1071567;77254;Regis Fliniaux;Cuvée Prestige Grand Cru Brut;398.00;;750.00;530.67;2016-03-23;0;Mousserande vin;Torrt vitt;;Flaska;;Champagne;Frankrike;Regis Fliniaux;VinTillMat i Väst AB;;;12.00%;BS;Övrigt sortiment;0;0;;0;
8886503;1071910;88865;Garage Hard Lemon;;19.90;;275.00;72.36;2016-05-02;0;Blanddrycker;;;Flaska;;;Internationellt märke;Carlsberg Sverige AB;Carlsberg Sverige AB;;;4.00%;FS;Ordinarie sortiment;0;0;;0;
7176501;1071918;71765;Arbois;Savagnin-Sous Voile;219.00;;750.00;292.00;2016-03-24;0;Vitt vin;;;Flaska;;Jura;Frankrike;Henri Maire;Giertz Vinimport AB;2011;;12.50%;BS;Övrigt sortiment;0;0;;0;
7288101;1071937;72881;Rose de Purcari;;150.00;;750.00;200.00;2016-04-01;0;Rosévin;;;Flaska;;Stefan Voda;Moldavien;Purcari;High Coast Wine AB;2017;;13.50%;BS;Övrigt sortiment;0;0;;0;
8575001;1071954;85750;Chicken Cock;Bootleggers Blend Bourbon and Rye;685.00;;700.00;978.57;2016-04-01;0;Whisky;Bourbon;;Flaska;;;USA;Grain & Barrel Spirits;Cranberries Jakobsson & Lövgren AB;;;45.00%;BS;Övrigt sortiment;0;0;;0;
7456301;1072034;74563;Inici;Priorat;197.00;;750.00;262.67;2016-03-23;0;Rött vin;;;Flaska;;Katalonien;Spanien;Merum Priorati;Mission Wine & Spirit AB;2015;;15.00%;BS;Övrigt sortiment;0;0;;0;
7704601;1072093;77046;Jean-Diot;Selection Brut;364.00;;750.00;485.33;2016-03-24;0;Mousserande vin;Torrt vitt;;Flaska;;Champagne;Frankrike;Champagne Jean Diot;Wine for Sweden;;;12.00%;BS;Övrigt sortiment;0;0;;0;
293108;1072381;2931;Viña Maipo;Sauvignon Blanc;189.00;;3000.00;63.00;2016-06-01;0;Vitt vin;Friskt & Fruktigt;;Box;Vingtapp;Valle Central;Chile;Quinta de Maipo SpA;VCT Sweden AB;2018;;11.50%;FS;Ordinarie sortiment;0;0;;0;Sauvignon blanc.
7464701;1072405;74647;Piero Busso;Barbera d'Alba St Stefanetto;295.00;;750.00;393.33;2016-03-26;0;Rött vin;;;Flaska;;Piemonte;Italien;Piero Busso;Tryffelsvinet AB;2016;;16.00%;BS;Övrigt sortiment;0;0;;0;
218401;1072476;2184;Nivei Blanco;;89.00;;750.00;118.67;2016-06-01;0;Vitt vin;;;Flaska;Skruvkapsyl;Rioja;Spanien;Bodegas Proelio;Brandpartners AB;2016;;13.00%;BS;Övrigt sortiment;0;0;;0;55% viura, 35% verdejo, 5% sauvignon blanc och 5% chardonnay.
582301;1072489;5823;Dreissigacker;Riesling Alte Reben;159.00;;750.00;212.00;2016-06-01;0;Vitt vin;Friskt & Fruktigt;;Flaska;Skruvkapsyl;Rheinhessen;Tyskland;Weingut Dreissigacker;Bornicon & Salming;2016;;12.50%;BS;Övrigt sortiment;1;0;;0;Riesling.
7753301;1073229;77533;Castell del Remei;Brut Nature;126.00;;750.00;168.00;2016-03-29;0;Mousserande vin;Torrt vitt;;Flaska;;Cava;Spanien;Castell del Remei;Smaksinnet AB;2014;;11.50%;BS;Övrigt sortiment;0;0;;0;
7441001;1073300;74410;Governo;Sangiovese;149.00;;750.00;198.67;2016-03-26;0;Rött vin;;;Flaska;;Toscana;Italien;Bertani;Oenoforos AB;2014;;13.50%;BS;Övrigt sortiment;0;0;;0;
7510001;1073915;75100;1270;A Vuit Red;349.00;;750.00;465.33;2016-04-04;0;Rött vin;;;Flaska;;Katalonien;Spanien;Hidalgo Albert S.L;Winebee AB;2009;;15.00%;BS;Övrigt sortiment;1;0;;0;
8491902;1074002;84919;Teerenpeli;Single Malt 10 Years;953.00;;500.00;1906.00;2016-04-01;0;Whisky;Maltwhisky;;Flaska;;;Finland;Teerenpeli Maltwhisky Distillery;Clydesdale AB;;;43.00%;BS;Övrigt sortiment;0;0;;0;
7007301;1074081;70073;Bourgogne Passetoutgrain;Robert Groffier Père et Fils;249.00;;750.00;332.00;2016-03-30;0;Rött vin;;;Flaska;;Bourgogne;Frankrike;Robert Groffier Père et Fils;Tryffelsvinet AB;2014;;12.50%;BS;Övrigt sortiment;0;0;;0;
7529801;1074100;75298;1270;A Vuit Fina;139.00;;750.00;185.33;2016-04-04;0;Rött vin;;;Flaska;;Katalonien;Spanien;Hidalgo Albert S.L;Winebee AB;2013;;14.50%;BS;Övrigt sortiment;1;0;;0;
7655501;1074106;76555;Sixto;Uncovered Chardonnay;379.00;;750.00;505.33;2016-03-30;0;Vitt vin;;;Flaska;;Washington State;USA;Charles Smith Wines;Handpicked Wines Sweden AB;2015;;13.50%;BS;Övrigt sortiment;0;0;;0;
7614901;1074118;76149;Ironstone;Old Vines Zinfandel;139.00;;750.00;185.33;2016-03-30;0;Rött vin;;;Flaska;;Kalifornien;USA;Ironstone Vineyards;Stellan Kramer AB;2014;;14.50%;BS;Övrigt sortiment;0;0;;0;
8665801;1074162;86658;Fortaleza;Blanco;849.00;;700.00;1212.86;2016-04-01;0;Tequila och Mezcal;Tequila;;Flaska;;Jalisco;Mexiko;Tequila Los Abuelos;AliasSmith AB;;;40.00%;BS;Övrigt sortiment;0;0;;0;
8662301;1074196;86623;Fortaleza;Añejo;1245.00;;700.00;1778.57;2016-04-01;0;Tequila och Mezcal;Tequila;;Flaska;;Jalisco;Mexiko;Tequila Los Abuelos;AliasSmith AB;;;40.00%;BS;Övrigt sortiment;0;0;;0;
3098803;1074280;30988;Wermlands;Kaffestout;25.00;;330.00;75.76;2016-05-02;0;Öl;Annan öl;;Flaska;;Värmlands län;Sverige;Wermlands Brygghus;Wermlands Brygghus AB;;;5.50%;TSLS;Lokalt och småskaligt;0;0;;0;Korn-, havre- och vetemalt, samt kaffebönor och humle.
3099103;1074422;30991;Diamant;Två Feta Grisar;22.50;;330.00;68.18;2016-05-02;0;Öl;Ale brittisk-amerikansk stil;Amerikansk pale ale (APA);Flaska;;Västra Götalands län;Sverige;Två Feta Grisar;Två Feta Grisar AB;;;5.50%;TSLS;Lokalt och småskaligt;0;0;;0;Kornmalt och humle.
3099203;1074425;30992;Optimus Primus;Imperial Honey Stout;38.30;;330.00;116.06;2016-05-02;0;Öl;Porter och stout;Imperial porter och stout;Flaska;;Västra Götalands län;Sverige;Två Feta Grisar;Två Feta Grisar AB;;;9.50%;TSLS;Lokalt och småskaligt;0;0;;0;Kornmalt, honung och humle.
3099303;1074431;30993;Brewski Pango IPA;;34.70;;330.00;105.15;2016-05-02;0;Öl;Ale brittisk-amerikansk stil;India pale ale (IPA);Flaska;;Skåne län;Sverige;Brewski;Beer Me Sweden AB;;;5.90%;FS;Ordinarie sortiment;0;0;;0;Kornmalt och humle.
3040002;1074479;30400;Valkyria Vanadis Organic Liqueur;;285.00;;500.00;570.00;2016-05-02;0;Likör;Annan likör;;Flaska;;Dalarnas län;Sverige;Valkyria Distillery;Valkyria Distillery AB;;;30.00%;BS;Övrigt sortiment;1;0;;0;
3035001;1074650;30350;Sixten;;43.50;;500.00;87.00;2016-05-02;0;Öl;Ale brittisk-amerikansk stil;Brown ale;Flaska;;Västra Götalands län;Sverige;Qvänum Mat & Malt AB;Qvänum Mat & Malt AB;;;5.40%;TSLS;Lokalt och småskaligt;1;0;;0;Kornmalt och humle.
3037001;1074654;30370;Q Lager;;43.60;;500.00;87.20;2016-05-02;0;Öl;Ljus lager;Pilsner - tjeckisk stil;Flaska;;Västra Götalands län;Sverige;Qvänum Mat & Malt AB;Qvänum Mat & Malt AB;;;5.10%;TSLS;Lokalt och småskaligt;1;0;;0;Kornmalt och humle.
3033803;1074665;30338;Remmarlöv;The Fenton Session IPA;19.90;;330.00;60.30;2018-12-01;0;Öl;Ale brittisk-amerikansk stil;Session IPA;Flaska;;Skåne län;Sverige;Remmarlöv Gårdsbryggeri AB;Remmarlöv Gårdsbryggeri AB;;;4.50%;FSN;Ordinarie sortiment;0;0;;0;Pilsner-, vete- och crystalmalt samt humle av sorterna simcoe, centennial, mosaic och amarillo.
3100203;1074668;31002;Saison Kongero;;24.90;;330.00;75.46;2016-05-02;0;Öl;Ale belgisk stil;Saison;Flaska;;Uppsala län;Sverige;Jackdaw Brewery AB;Jackdaw Brewery AB;2015;;7.00%;TSLS;Lokalt och småskaligt;0;0;;0;Korn- och vetemalt samt humle.
3100503;1074693;31005;Jädraöl;Gävle lager;24.70;;330.00;74.85;2016-05-02;0;Öl;Ljus lager;Modern stil;Flaska;;Gävleborgs län;Sverige;Jädraås Bryggeri;Jädraås Bryggeri AB;;;5.00%;TSLS;Lokalt och småskaligt;0;0;;0;Kornmalt och humle.
3100603;1074696;31006;Poppels;Session IPA;19.90;;330.00;60.30;2016-05-02;0;Öl;Ale brittisk-amerikansk stil;Session IPA;Flaska;;Västra Götalands län;Sverige;Poppels Bryggeri;Poppels Bryggeri AB;;;4.20%;FS;Ordinarie sortiment;1;0;;0;Kornmalt och humle.
3100802;1074726;31008;Nordmarkens Aqvavit;;249.00;;500.00;498.00;2016-05-02;0;Akvavit och Kryddat brännvin;Akvavit;;Flaska;;Värmlands län;Sverige;Nordmarkens Destilleri AB;Nordmarkens Destilleri AB;;;37.50%;TSLS;Lokalt och småskaligt;0;0;;0;
8965503;1074848;89655;Dalabryggeri;Ljus Lager;16.80;;330.00;50.91;2016-04-01;0;Öl;Ljus lager;;Flaska;;Dalarnas län;Sverige;DalaBryggeri;DalaBryggeri AB;;;5.20%;FS;Ordinarie sortiment;1;0;;0;
629101;10751349;6291;Jose Galo;Varietal Verdejo;87.00;;750.00;116.00;2018-06-01;0;Vitt vin;Friskt & Fruktigt;;Flaska;Skruvkapsyl;Kastilien-León;Spanien;Bodegas y Viñedos Rueda Pérez;Stellan Kramer AB;2017;;13.00%;FS;Ordinarie sortiment;0;0;;0;Verdejo.
644201;10751356;6442;MiM Natura;Xarel-lo de Terrer;109.00;;750.00;145.33;2018-06-01;0;Vitt vin;Friskt & Fruktigt;;Flaska;Naturkork;Katalonien;Spanien;Vins el Cep;Amka Vinimport AB;2017;;12.50%;FS;Ordinarie sortiment;1;0;;0;85% xarel-lo och 15% chardonnay.
7376001;10751492;73760;Marrenon;Amountanage Luberon Rouge;129.00;;750.00;172.00;2018-02-26;0;Rött vin;;;Flaska;;Rhonedalen;Frankrike;Marrenon, Vignobles en Ventoux & Luberon;Fine Brands Sweden AB;2016;;13.50%;BS;Övrigt sortiment;1;0;;0;
7478301;10751495;74783;Arvino;Rosso;169.00;;750.00;225.33;2018-02-28;0;Rött vin;;;Flaska;;Kalabrien;Italien;Cantine Statti;Vinlusen AB;2015;;13.50%;BS;Övrigt sortiment;0;0;;0;
7308801;10751497;73088;Venezia Giulia;Chardonnay;288.00;;750.00;384.00;2018-02-27;0;Vitt vin;;;Flaska;;Friuli-Venezia-Giulia;Italien;Jermann di Silvio;Theis Vine AB;2015;;13.00%;BS;Övrigt sortiment;0;0;;0;
7794001;10751499;77940;Rosato;Enzo Bartoli;109.00;;750.00;145.33;2018-02-26;0;Rosévin;Friskt & Bärigt;;Flaska;;Piemonte;Italien;MGM S.r.l.;Independent Wine Company AB;2018;;12.00%;FS;Ordinarie sortiment;0;0;;0;
7653001;10751500;76530;Prosecco;Valdobbiadene Extra Dry;159.00;;750.00;212.00;2018-02-26;0;Mousserande vin;Torrt vitt;;Flaska;;Venetien;Italien;La Riva dei Frati;Wembrands World AB;;;11.00%;BS;Övrigt sortiment;0;0;;0;
7261801;10751501;72618;La Riva Dei Frati;Cabernet del Veneto;89.00;;750.00;118.67;2018-02-26;0;Rött vin;Kryddigt & Mustigt;;Flaska;;Venetien;Italien;La Riva dei Frati;Wembrands World AB;;;13.00%;BS;Övrigt sortiment;0;0;;0;
7413401;10751503;74134;Philipp Kuhn;Pinot Noir Tradition;177.00;;750.00;236.00;2018-02-27;0;Rött vin;;;Flaska;;Pfalz;Tyskland;Philipp Kuhn;Tryffelsvinet AB;2015;;14.00%;BS;Övrigt sortiment;0;0;;0;
7289901;10751505;72899;Red Angel;Pinot Nero;288.00;;750.00;384.00;2018-02-27;0;Rött vin;;;Flaska;;Friuli-Venezia-Giulia;Italien;Jermann di Silvio;Theis Vine AB;2014;;13.00%;BS;Övrigt sortiment;0;0;;0;
7167501;10751506;71675;Venezia Giulia;Pinot Grigio;288.00;;750.00;384.00;2018-02-27;0;Vitt vin;;;Flaska;;Friuli-Venezia-Giulia;Italien;Jermann di Silvio;Theis Vine AB;2017;;13.00%;BS;Övrigt sortiment;0;0;;0;
7517801;10751508;75178;Laurent-Perrier;Grand Siècle;1199.00;;750.00;1598.67;2018-02-28;0;Mousserande vin;Torrt vitt;;Flaska;;Champagne;Frankrike;Champagne Laurent-Perrier;Bibendum;;;12.00%;BS;Övrigt sortiment;0;0;;0;
8049902;10751509;80499;Kuaijishan;5 Years Huangjiu Shaoxing Risvin;168.00;;500.00;336.00;2018-02-21;0;Sake;;;Flaska;;;Folkrepubliken Kina;Shaoxing Wine Co. Ltd.;Ludvig Sääf;;;14.00%;BS;Övrigt sortiment;0;0;;0;
8056002;10751510;80560;Kuaijishan;8 Years Huangjiu Shaoxing Risvin;294.00;;500.00;588.00;2018-02-21;0;Sake;;;Flaska;;;Folkrepubliken Kina;Shaoxing Wine Co. Ltd.;Ludvig Sääf;;;14.00%;BS;Övrigt sortiment;0;0;;0;
8586301;10751517;85863;Amrut;Port Pipe Peated;1998.00;;700.00;2854.29;2018-03-05;0;Whisky;Maltwhisky;;Flaska;;;Indien;Amrut Distilleries;Clydesdale AB;;;62.80%;BS;Övrigt sortiment;0;0;;0;
8588801;10751519;85888;Bowmore;Bofire Attire;3395.00;;700.00;4850.00;2018-03-05;0;Whisky;Maltwhisky;;Flaska;;Skottland;Storbritannien;Wemyss Malts;Clydesdale AB;1987;;43.70%;BS;Övrigt sortiment;0;0;;0;
8132201;10751524;81322;Glen Spey;A D Rattray Cask Collection No 800861 25 Years;1698.00;;700.00;2425.71;2018-03-05;0;Whisky;Maltwhisky;;Flaska;;Skottland;Storbritannien;A D Rattray Limited;Clydesdale AB;1991;;47.40%;BS;Övrigt sortiment;0;0;;0;
8229901;10751526;82299;Speyburn;Sauternes Finish 8 Years;869.00;;700.00;1241.43;2018-03-05;0;Whisky;Maltwhisky;;Flaska;;Skottland;Storbritannien;A D Rattray Limited;Clydesdale AB;2009;;53.90%;BS;Övrigt sortiment;0;0;;0;
645801;10751626;6458;Graf von Schönborn;Silvaner;129.00;;750.00;172.00;2018-06-01;0;Vitt vin;Friskt & Fruktigt;;Flaska;;Franken;Tyskland;Schloss Schönborn;VinoNovo AB;2017;;11.00%;BS;Övrigt sortiment;0;0;;0;Silvaner.
3030003;1075181;30300;Ronneby Lager;;26.20;;330.00;79.39;2016-05-02;0;Öl;Ljus lager;Modern stil;Flaska;;Blekinge län;Sverige;Restaurang Skeppsgossen;Restaurang Skeppsgossen AB;;;6.00%;TSLS;Lokalt och småskaligt;0;0;;0;Kornmalt och humle.
8967201;1075196;89672;Maredsous;Brune;79.90;;750.00;106.53;2016-04-01;0;Öl;Ale belgisk stil;Belgisk mörk ale;Flaska;;;Belgien;Duvel Moortgat;Galatea AB;;;8.00%;BS;Övrigt sortiment;0;0;;0;
7743201;1075210;77432;Aurum;Brut Nature Reserva;99.00;;750.00;132.00;2016-04-04;0;Mousserande vin;Torrt vitt;;Flaska;;Cava;Spanien;Maset del Lleó;Winebee AB;;;11.00%;BS;Övrigt sortiment;0;0;;0;
7775501;1075231;77755;Castell De Ribes;Semi Seco;59.00;;750.00;78.67;2016-04-04;0;Mousserande vin;Halvtorrt vitt;;Flaska;;Cava;Spanien;Bodegas Joan Sarda SA.;Winebee AB;;;11.50%;BS;Övrigt sortiment;0;0;;0;
3102403;1075240;31024;S:t Olof;Havrestout;29.10;;330.00;88.18;2016-05-02;0;Öl;Porter och stout;Torr porter och stout;Flaska;;Västra Götalands län;Sverige;Bryggeriaktiebolaget Nya Victoria;Bryggeriaktiebolaget Nya Victoria;;;4.50%;TSLS;Lokalt och småskaligt;0;0;;0;Kornmalt och humle.
3102703;1075296;31027;15 Minutes of Flame;India Pale Ale;29.90;;330.00;90.61;2016-05-02;0;Öl;Ale brittisk-amerikansk stil;India pale ale (IPA);Flaska;;Skåne län;Sverige;Chad Beer;Lilla Ölfabriken PP AB;;;5.50%;TSLS;Lokalt och småskaligt;0;0;;0;Korn- och vetemalt samt humle av sorterna mosaic, amarillo och chinook.
3102903;1075308;31029;The Great Adventures of Mofaza;Pale Ale;28.60;;330.00;86.67;2016-05-02;0;Öl;Ale brittisk-amerikansk stil;Amerikansk pale ale (APA);Flaska;;Jämtlands län;Sverige;Jemtehed & Brande;Jemtehed & Brande AB;;;5.00%;TSLS;Lokalt och småskaligt;0;0;;0;Kornmalt och humle.
3103203;1075410;31032;Dugges Stillwater Artisanal;Tropic Thunder;32.00;;330.00;96.97;2016-05-02;0;Öl;Syrlig öl;Övrig syrlig öl;Flaska;;Västra Götalands län;Sverige;Dugges Bryggeri AB;Dugges Bryggeri AB;;;4.50%;FS;Ordinarie sortiment;0;0;;0;Korn- och vetemalt, juice av mango och passionsfrukt samt extrakt av persika.
3103503;1075731;31035;Slottskällans;Freedom IPA;23.90;;330.00;72.42;2016-06-01;0;Öl;Ale brittisk-amerikansk stil;India pale ale (IPA);Flaska;;Uppsala län;Sverige;Gamla Slottskällans Bryggeri;Gamla Slottskällans Bryggeri AB;;;6.50%;TSLS;Lokalt och småskaligt;0;0;;0;
555101;1075817;5551;Groh Organic;Grauburgunder Trocken;119.00;;750.00;158.67;2016-06-01;0;Vitt vin;Druvigt & Blommigt;;Flaska;Skruvkapsyl;Rheinhessen;Tyskland;Estate Groh;The Wine and Spirits Collective Sweden AB;2017;;12.50%;FS;Ordinarie sortiment;1;0;;0;Grauburgunder (pinot gris).
3103903;1075824;31039;Enskede Pale Ale;;24.80;;330.00;75.15;2016-05-02;0;Öl;Ale brittisk-amerikansk stil;Engelsk pale ale och bitter;Flaska;;Stockholms län;Sverige;Gamla Enskede Bryggeri;Gamla Enskede Bryggeri;;;4.40%;TSLS;Lokalt och småskaligt;1;0;;0;Pale ale- münchner-, karamell, vete och crystalmalt samt humle av sorterna polaris och first gold.
7499301;1075965;74993;Gabriel Meffre;Côtes-du-Rhône Saint-Francois;95.00;;750.00;126.67;2016-04-04;0;Vitt vin;Druvigt & Blommigt;;Flaska;Skruvkapsyl;Rhonedalen;Frankrike;Gabriel Meffre;The Wine Team Global AB;2018;;13.00%;FS;Ordinarie sortiment;1;0;;0;Grenache blanc och viognier samt övriga druvsorter.
3104403;1076103;31044;Halmstad Brygghus;Tjuvahålan Lager;20.90;;330.00;63.33;2016-06-01;0;Öl;Ljus lager;Modern stil;Flaska;;Hallands län;Sverige;Halmstad Brygghus;Halmstad Brygghus AB;;;5.20%;TSLS;Lokalt och småskaligt;0;0;;0;Kornamlt samt humle av sorterna magnum, cascade, fuggles och hallertauer mittelfrüh.
7097001;1076148;70970;Flora Springs;Cabernet Sauvignon;499.00;;750.00;665.33;2016-04-29;0;Rött vin;;;Flaska;;Kalifornien;USA;Flora Springs;Divine AB;2016;;14.00%;BS;Övrigt sortiment;0;0;;0;
7260301;1076153;72603;Villa Chiòpris;Pinot Grigio;119.00;;750.00;158.67;2016-04-07;0;Vitt vin;;;Flaska;;Friuli-Venezia-Giulia;Italien;Azienda Livon;Fine Brands Sweden AB;2014;;12.00%;BS;Övrigt sortiment;0;0;;0;
7523901;1076164;75239;Livon Valbuins;Sauvignon Blanc;225.00;;750.00;300.00;2016-04-07;0;Vitt vin;;;Flaska;;Friuli-Venezia-Giulia;Italien;Azienda Livon;Fine Brands Sweden AB;2014;;13.00%;BS;Övrigt sortiment;0;0;;0;
7156501;1076167;71565;Villa Chiòpris;Sauvignon Blanc;119.00;;750.00;158.67;2016-04-07;0;Vitt vin;;;Flaska;;Friuli-Venezia-Giulia;Italien;Azienda Livon;Fine Brands Sweden AB;2014;;12.00%;BS;Övrigt sortiment;0;0;;0;
7168501;1076170;71685;Ironstone;Cabernet Sauvignon;139.00;;750.00;185.33;2016-04-07;0;Rött vin;;;Flaska;;Kalifornien;USA;Ironstone Vineyards;Stellan Kramer AB;2014;;14.50%;BS;Övrigt sortiment;0;0;;0;
7193102;1076174;71931;Alfiero Boffa;Moscato d'Asti La Lupa;109.00;;375.00;290.67;2016-04-05;0;Vitt vin;Sött;;Flaska;Naturkork;Piemonte;Italien;Alfiero Boffa;Johan Lidby Vinhandel AB;2018;;5.50%;BS;Övrigt sortiment;0;0;;0;
7256801;1076180;72568;Fattoria ColSanto;Sagrantino di Montefalco;365.00;;750.00;486.67;2016-04-07;0;Rött vin;;;Flaska;;Umbrien;Italien;Azienda Livon;Fine Brands Sweden AB;2010;;15.50%;BS;Övrigt sortiment;0;0;;0;
7481301;1076187;74813;La Roche Buissière;Petit Jo;171.00;;750.00;228.00;2016-04-05;0;Rött vin;;;Flaska;;;Frankrike;Pierre et Antoine Joly;Vin & Natur Malmö AB;;;13.50%;BS;Övrigt sortiment;1;0;;0;
7569501;1076203;75695;Borgo Salcetino Lucarello;Chianti Classico Riserva;229.00;;750.00;305.33;2016-04-07;0;Rött vin;;;Flaska;;Toscana;Italien;Azienda Livon;Fine Brands Sweden AB;2013;;13.50%;BS;Övrigt sortiment;0;0;;0;
7562301;1076228;75623;Borgo Salcetino;Chianti Classico;181.00;;750.00;241.33;2016-04-07;0;Rött vin;;;Flaska;;Toscana;Italien;Azienda Livon;Fine Brands Sweden AB;2015;;13.00%;BS;Övrigt sortiment;0;0;;0;
7577801;1076258;75778;Borgo Salcetino RosSole;Sangiovese Merlot;146.00;;750.00;194.67;2016-04-07;0;Rött vin;;;Flaska;;Toscana;Italien;Azienda Livon;Fine Brands Sweden AB;2012;;13.00%;BS;Övrigt sortiment;0;0;;0;
7562001;1076271;75620;Fattoria ColSanto;Ruris;115.00;;750.00;153.33;2016-04-07;0;Rött vin;;;Flaska;;Umbrien;Italien;Azienda Livon;Fine Brands Sweden AB;2012;;14.00%;BS;Övrigt sortiment;0;0;;0;
463704;1076584;4637;Spring Village;Grenache Syrah Rosé;25.00;1.00;187.00;133.69;2016-05-16;0;Rosévin;Fruktigt & Smakrikt;;PET-flaska;Skruvkapsyl;Languedoc-Roussillon;Frankrike;Spendrups;Spendrups Bryggeri AB;2017;;12.00%;FS;Ordinarie sortiment;0;0;;0;Grenache och syrah.
7594001;1076734;75940;Domaine Bernhard & Reibel;Pinot Gris;352.00;;750.00;469.33;2016-04-06;0;Vitt vin;;;Flaska;;Alsace;Frankrike;Domaine Bernhard & Reibel;Alshammar Import;2005;;12.50%;BS;Övrigt sortiment;0;0;;0;
8653901;1077087;86539;Grappa al Miele;;401.00;;700.00;572.86;2016-04-15;0;Grappa och Marc;Grappa;;Flaska;;;Italien;Distilleria Castelli Giuseppe;Vendemmia Vinimport AB;;;40.00%;BS;Övrigt sortiment;0;0;;0;
7042701;1077128;70427;2 Mazi;White;169.00;;750.00;225.33;2016-04-08;0;Vitt vin;;;Flaska;;;Grekland;Manousakis Winery;O.Wines and Spirits AB;2014;;14.00%;BS;Övrigt sortiment;0;0;;0;
7301801;1077182;73018;Santa Duc;Côtes du Rhône Les Vieilles Vignes;119.00;;750.00;158.67;2016-04-08;0;Rött vin;Kryddigt & Mustigt;;Flaska;Natur;Rhonedalen;Frankrike;Domaine Santa Duc;Johan Lidby Vinhandel AB;2016;;14.50%;FS;Ordinarie sortiment;1;0;;0;
7761406;1077974;77614;Guldkula;Diamond Grand Cru Vintage;9300.00;;1500.00;6200.00;2016-04-18;0;Mousserande vin;Torrt vitt;;Magnum;;Champagne;Frankrike;Champagne de Venoge;Vinoliv Import AB;1998;;12.00%;BS;Övrigt sortiment;0;0;;0;
8730302;1078095;87303;Gunroom;Navy Gin;400.00;;500.00;800.00;2016-04-08;0;Gin och Genever;Gin;;Flaska;;;Sverige;Renbjer & Magnusson AB;Renbjer & Magnusson AB;;;57.00%;BS;Övrigt sortiment;0;0;;0;
8610801;1079524;86108;Grappa Nebbiolo me;;499.00;;700.00;712.86;2016-04-15;0;Grappa och Marc;Grappa;;Flaska;;;Italien;Distilleria Castelli Giuseppe;Vendemmia Vinimport AB;;;45.00%;BS;Övrigt sortiment;0;0;;0;
8680001;1079530;86800;Grappa di Barolo;;499.00;;700.00;712.86;2016-04-15;0;Grappa och Marc;Grappa;;Flaska;;;Italien;Distilleria Castelli Giuseppe;Vendemmia Vinimport AB;;;43.00%;BS;Övrigt sortiment;0;0;;0;
4046201;1079533;40462;Glen Scotia;Limited Edition;1499.00;;700.00;2141.43;2016-09-22;0;Whisky;Maltwhisky;;Flaska;Natur;Skottland;Storbritannien;Loch Lomond Group;Stellan Kramer AB;1991;;52.20%;TSE;Små partier;0;0;;0;
4046101;1079542;40461;Glen Scotia;Limited Edition;1486.00;;700.00;2122.86;2016-10-27;0;Whisky;Maltwhisky;;Flaska;Natur;Skottland;Storbritannien;Loch Lomond Group;;1992;;52.20%;TSE;Små partier;0;0;;0;
8521101;1079548;85211;Ben Nevis;Sherry Cask 16 Years;1767.00;;700.00;2524.29;2016-04-09;0;Whisky;Maltwhisky;;Flaska;;Skottland;Storbritannien;The Scotch Single Malt Circle;Clydesdale AB;1998;;57.10%;BS;Övrigt sortiment;0;0;;0;
