nr;Artikelid;Varnummer;Namn;Namn2;Prisinklmoms;Pant;Volymiml;PrisPerLiter;Saljstart;Utgått;Varugrupp;Typ;Stil;Forpackning;Forslutning;Ursprung;Ursprunglandnamn;Producent;Leverantor;Argang;Provadargang;Alkoholhalt;Sortiment;SortimentText;Ekologisk;Etiskt;EtisktEtikett;Koscher;RavarorBeskrivning
9116201;905208;91162;Charmes-Chambertin Grand Cru;Dugat-Py;3852.00;;750.00;5136.00;2015-01-29;0;Rött vin;;;Flaska;Natur;Bourgogne;Frankrike;Domaine Dugat-Py;Classic Wine Sweden AB;2012;;13.50%;TSE;Små partier;0;0;;0;
148815;905212;1488;Norrlands Ljus;Ekologisk;10.50;1.00;330.00;31.82;2015-06-01;0;Öl;Ljus lager;Internationell stil;Burk;;;Sverige;Spendrups;Spendrups Bryggeri AB;;;4.70%;FS;Ordinarie sortiment;1;0;;0;Kornmalt och humle.
7970301;9052852;79703;Rampone;Minutolo;149.00;;750.00;198.67;2017-12-04;0;Vitt vin;;;Flaska;;Apulien;Italien;I Pàstini;Solo io;2016;;12.50%;BS;Övrigt sortiment;0;0;;0;
7634301;9052853;76343;Arpago;Primitivo;129.00;;750.00;172.00;2017-12-04;0;Rött vin;;;Flaska;;Apulien;Italien;I Pàstini;Solo io;2015;;14.00%;BS;Övrigt sortiment;0;0;;0;
7300501;9052854;73005;Cupa;Bianco D`alessano;119.00;;750.00;158.67;2017-12-04;0;Vitt vin;;;Flaska;;Apulien;Italien;I Pàstini;Solo io;2016;;12.00%;BS;Övrigt sortiment;0;0;;0;
7319701;9052855;73197;1759 Spumante Classico;Verdeca;199.00;;750.00;265.33;2017-12-04;0;Mousserande vin;;;Flaska;;Apulien;Italien;I Pàstini;Solo io;2014;;12.00%;BS;Övrigt sortiment;0;0;;0;
7610601;9052856;76106;Verso Sud;Susumaniello;152.00;;750.00;202.67;2017-12-04;0;Rött vin;;;Flaska;;Apulien;Italien;I Pàstini;Solo io;2016;;13.50%;BS;Övrigt sortiment;0;0;;0;
7875701;905288;78757;Turley;Old Vine Zinfandel;419.00;;750.00;558.67;2014-12-01;0;Rött vin;;;Flaska;Naturkork;Kalifornien;USA;Turley Wine Cellars;Divine AB;2015;;15.50%;BS;Övrigt sortiment;0;0;;0;
7725901;905334;77259;Hundred Fifty Six;Anniversary Brut;229.00;;750.00;305.33;2014-12-01;0;Mousserande vin;Torrt vitt;;Flaska;;;Italien;Fontanafredda;Enjoy Wine & Spirits AB;;;12.50%;BS;Övrigt sortiment;0;0;;0;
625001;905339;6250;Camden Park;Shiraz Grenache;76.00;;750.00;101.33;2015-03-02;0;Rött vin;Fruktigt & Smakrikt;;Flaska;Skruvkapsyl;South Australia;Australien;Overland Vineyards;Åbro Bryggeri;2017;;14.00%;FS;Ordinarie sortiment;0;0;;0;50% shiraz och 50% grenache.
627101;905370;6271;Black Mountain;Shiraz Cabernet;70.00;;1000.00;70.00;2015-03-02;0;Rött vin;Fruktigt & Smakrikt;;Papp;Skruvkapsyl;South Eastern Australia;Australien;Kingston Estate Wines;Nigab;2017;;13.50%;FS;Ordinarie sortiment;0;0;;0;Shiraz och cabernet sauvignon.
