"","Artikelid","Namn","Namn2","Prisinklmoms","Volymiml","PrisPerLiter","Varugrupp","Typ","Forpackning","Forslutning","Ursprung","Ursprunglandnamn","Producent","Argang","Alkoholhalt","Ekologisk","Etiskt","EtisktEtikett","Koscher","RavarorBeskrivning","APK"
"5898",261084,"Domaine Gerovassiliou","Fumé Sauvignon Blanc",224,750,298.67,"Vitt vin","","Flaska","","Makedonien","Grekland","Domaine Gerovassiliou",2007,"12.50%",0,0,"",0,"",0.0418522114708541
"5899",262051,"The Footbolt","Shiraz",159,750,212,"Rött vin","","Flaska","","South Australia","Australien","d'Arenberg",2010,"14.30%",0,0,"",0,"",0.0674528301886792
"5900",262218,"Malmö Akvavit","",233,500,466,"Akvavit och Kryddat brännvin","Akvavit","Flaska","","Skåne län","Sverige","Symposion International",NA,"38.00%",0,0,"",0,"",0.0815450643776824
"5901",262243,"Collet Brut","Rosé",365,750,486.67,"Mousserande vin","Rosé","Flaska","","Champagne","Frankrike","Raoul Collet",NA,"12.50%",0,0,"",0,"",0.0256847555838659
"5902",262246,"Collet Brut","Grand Art",1599,3000,533,"Mousserande vin","Torrt vitt","Flaska","","Champagne","Frankrike","Raoul Collet",NA,"12.50%",0,0,"",0,"",0.0234521575984991
"5903",262252,"Collet Brut","Grand Art",659,1500,439.33,"Mousserande vin","Torrt vitt","Magnum","","Champagne","Frankrike","Raoul Collet",NA,"12.50%",0,0,"",0,"",0.0284524161791819
"5904",262261,"Collet Brut","Grand Art",365,750,486.67,"Mousserande vin","Torrt vitt","Flaska","","Champagne","Frankrike","Raoul Collet",NA,"12.50%",0,0,"",0,"",0.0256847555838659
"5905",263353,"Château la Tour de Beraud","",499,5000,99.8,"Rött vin","","Box","Tappkran knapp","Rhonedalen","Frankrike","Château Mourgues du Grès",2017,"13.50%",0,0,"",0,"",0.135270541082164
"5906",2635148,"Château Jolys","Famille Latrille",109,750,145.33,"Vitt vin","Friskt & Fruktigt","Flaska","Plast","Frankrike sydväst","Frankrike","Société des Domaines Latrille",2017,"14.00%",0,0,"",0,"Petit manseng och gros manseng.",0.0963324846900158
"5907",2635192,"Camino de Navaherreros","Bodegas Bernabeleva",129,750,172,"Rött vin","Mjukt & Bärigt","Flaska","Natur","Madrid","Spanien","Bodegas Bernabeleva",2017,"13.50%",0,0,"",0,"Garnacha (grenache).",0.0784883720930233
"5908",2635228,"Bourgogne Les Murelles","Domaine Roux",149,750,198.67,"Vitt vin","Fylligt & Smakrikt","Flaska","Naturkork","Bourgogne","Frankrike","Domaine Roux",2017,"12.50%",0,0,"",0,"Chardonnay.",0.0629184074092717
"5909",2635233,"Bourgogne Les Murelles","Domaine Roux",85,375,226.67,"Vitt vin","Fylligt & Smakrikt","Flaska","Naturkork","Bourgogne","Frankrike","Domaine Roux",2017,"12.50%",0,0,"",0,"Chardonnay.",0.0551462478492963
"5910",2635242,"Dorivm","Reserva Seleccion de la Familia",229,750,305.33,"Rött vin","Stramt & Nyanserat","Flaska","Natur","Kastilien-León","Spanien","Bodegas Thesaurus",2013,"14.00%",0,0,"",0,"Tempranillo.",0.0458520289522811
"5911",2635344,"Blue Nun","Sparkling 24K Gold Edition Dry",89,750,118.67,"Mousserande vin","Smaksatt","Flaska","Natur","","Tyskland","Langguth Erben",NA,"11.00%",0,0,"",0,"",0.0926940254487233
"5912",263560,"Blanc de Blancs","Cuvée Carl-Otto Brut",120,750,160,"Mousserande vin","Torrt vitt","Flaska","Champagnekork-natur","","Frankrike","Veuve Ambal",NA,"11.50%",0,0,"",0,"",0.071875
"5913",263573,"Cremant de Bourgogne","Cuvée Carl-Otto",139,750,185.33,"Mousserande vin","Torrt vitt","Flaska","Champagnekork-natur","Bourgogne","Frankrike","Veuve Ambal",NA,"12.00%",0,0,"",0,"",0.0647493659957913
"5914",263803,"Raccolto","Nero d'Avola Cabernet Sauvignon Organic",249,3000,83,"Rött vin","Fruktigt & Smakrikt","Box","Tryckknapp front","Sicilien","Italien","Nordic Sea Winery",2018,"14.50%",1,0,"",0,"60% nero d'avola och 40% cabernet sauvignon.",0.174698795180723
"5915",263995,"Cape Mentelle","Cabernet Merlot",221,750,294.67,"Rött vin","","Flaska","","Western Australia","Australien","Cape Mentelle",2014,"14.00%",0,0,"",0,"",0.0475107747649913
"5916",26419,"Château Gravas","",349,750,465.33,"Vitt vin","Sött","Flaska","Naturkork","Bordeaux","Frankrike","Bordeauxslott",2012,"13.50%",0,0,"",0,"",0.0290116691380311
"5917",264426,"Skanör Aquavit","",219,500,438,"Akvavit och Kryddat brännvin","Akvavit","Flaska","","Skåne län","Sverige","Saturnus",NA,"40.00%",0,0,"",0,"",0.091324200913242
"5918",2644855,"Victoria","Mama di Rosa",49,750,65.33,"Rosévin","Friskt & Bärigt","Flaska","","Venetien","Italien","Cantine Vitevis SCA",2016,"13.00%",0,0,"",0,"",0.198989744374713
"5919",2644856,"Victoria","La Vita Bella",49,750,65.33,"Vitt vin","Friskt & Fruktigt","Flaska","","Venetien","Italien","Cantine Vitevis SCA",2016,"13.00%",0,0,"",0,"Pinot grigio.",0.198989744374713
"5920",2644859,"Côte de Nuis-Villages","Domaine des Tilleuls",349,750,465.33,"Rött vin","","Flaska","","Bourgogne","Frankrike","Philippe Livera",2014,"13.00%",0,0,"",0,"",0.0279371628736596
"5921",2644861,"Brunelli","Campo del Maestro",264,750,352,"Rött vin","Kryddigt & Mustigt","Flaska","Naturkork","Venetien","Italien","Brunelli",2016,"15.00%",0,0,"",0,"",0.0426136363636364
"5922",2644863,"Brunello di Montalcino","Il Marroneto",590,750,786.67,"Rött vin","","Flaska","Natur","Toscana","Italien","Az. Agr. il Marroneto di Mori Alessandro",2014,"14.00%",0,0,"",0,"",0.0177965347604459
"5923",2644864,"Brunello di Montalcino","Madonna delle Grazie",1187,750,1582.67,"Rött vin","","Flaska","","Toscana","Italien","Az. Agr. il Marroneto di Mori Alessandro",2013,"14.50%",0,0,"",0,"",0.00916173302078134
"5924",26473,"Brunello di Montalcino","Val di Suga",259,750,345.33,"Rött vin","Stramt & Nyanserat","Flaska","Natur","Toscana","Italien","Tenimenti Angelini",2013,"14.00%",0,0,"",0,"Brunello (sangiovese).",0.0405409318622767
"5925",266673,"Secastilla","",279,750,372,"Rött vin","","Flaska","","Aragonien","Spanien","Viñas del Vero",2005,"14.00%",0,0,"",0,"",0.0376344086021505
"5926",266683,"La Miranda","de Secastilla",99,750,132,"Rött vin","","Flaska","","Aragonien","Spanien","Viñas del Vero",2012,"14.00%",0,0,"",0,"",0.106060606060606
"5927",267235,"Leth","Grüner Veltliner Brunnthal",159,750,212,"Vitt vin","","Flaska","Skruvkapsyl","Niederösterreich","Österrike","Weingut Leth",2015,"13.00%",0,0,"",0,"",0.0613207547169811
"5928",2672810,"Rosso di Montalcino","Il Marroneto",348,750,464,"Rött vin","","Flaska","","Toscana","Italien","Az. Agr. il Marroneto di Mori Alessandro",2016,"13.50%",0,0,"",0,"",0.0290948275862069
"5929",2672811,"Trapan","Terra Mare",215,750,286.67,"Rött vin","","Flaska","","Primorska","Kroatien","Trapan",2015,"14.00%",0,0,"",0,"",0.0488366414344019
"5930",2672813,"Louis Jadot","Coteaux Bourguignons",119,750,158.67,"Rött vin","Mjukt & Bärigt","Flaska","Naturkork","Bourgogne","Frankrike","Louis Jadot",2017,"12.50%",0,0,"",0,"Gamay och pinot noir.",0.0787798575660175
"5931",2672821,"Eric Rodez","Ambonnay Blanc de Noirs grand Cru Brut",529,750,705.33,"Mousserande vin","Torrt vitt","Flaska","","Champagne","Frankrike","Eric Rodez",NA,"12.00%",0,0,"",0,"",0.0170133129173578
"5932",2672822,"Eric Rodez","Ambonnay Rosé Grand Cru Brut",499,750,665.33,"Mousserande vin","Torrt vitt","Flaska","","Champagne","Frankrike","Eric Rodez",NA,"12.00%",0,0,"",0,"",0.0180361625058242
"5933",2672823,"Weingut Julius","Silvaner Trocken",181,750,241.33,"Vitt vin","","Flaska","","Rheinhessen","Tyskland","Weingut Julius",2016,"12.00%",1,0,"",0,"",0.049724443707786
"5934",2672824,"Weingut Julius","Goldmuskateller",181,750,241.33,"Vitt vin","","Flaska","","Rheinhessen","Tyskland","Weingut Julius",2017,"11.50%",1,0,"",0,"",0.0476525918866283
"5935",2672825,"Weingut Julius","Sauvignon Blanc Trocken",181,750,241.33,"Vitt vin","","Flaska","","Rheinhessen","Tyskland","Weingut Julius",2017,"13.00%",1,0,"",0,"",0.0538681473501015
"5936",2672826,"Mala","Nevina",225,750,300,"Vitt vin","","Flaska","","Primorska","Kroatien","Saints Hills d.o.o",2015,"13.50%",0,0,"",0,"",0.045
"5937",2672827,"Saints Hills","Dingac",389,750,518.67,"Rött vin","","Flaska","","Primorska","Kroatien","Saints Hills d.o.o",2013,"13.50%",0,0,"",0,"",0.0260281103591879
"5938",2672828,"Wynns","The Siding Cabernet Sauvignon",139,750,185.33,"Rött vin","","Flaska","","South Australia","Australien","Wynns Coonawarra Estate",2012,"13.50%",0,0,"",0,"",0.0728430367452652
"5939",2672841,"Van Ardi","Areni Reserve",264,750,352,"Rött vin","","Flaska","","","Armenien","Van Ardi LCC",2015,"13.50%",0,0,"",0,"",0.0383522727272727
"5940",2672842,"Van Ardi","Syrah Reserve",259,750,345.33,"Rött vin","","Flaska","","","Armenien","Van Ardi LCC",2015,"14.50%",0,0,"",0,"",0.0419888222859294
"5941",2672843,"Di Capo","Gavi di Gavi",129,750,172,"Vitt vin","Fylligt & Smakrikt","Flaska","Plast","Piemonte","Italien","Roberto Sarotto",2016,"12.50%",0,0,"",0,"",0.0726744186046512
"5942",2673221,"Torsebro Vita","",170,500,340,"Vitt vin","","Flaska","","Skåne län","Sverige","Cehlin Vingård",2016,"10.00%",0,0,"",0,"Solaris, seyval blanc och mertzling.",0.0294117647058824
"5943",2673233,"Torsebro Röda","",170,500,340,"Rött vin","Fruktigt & Smakrikt","Flaska","","Skåne län","Sverige","Cehlin Vingård",2016,"10.00%",0,0,"",0,"Rondo, siramé, leon millot och regent.",0.0294117647058824
"5944",26838,"Jacob's Creek","Chardonnay Pinot Noir",33,200,165,"Mousserande vin","Torrt vitt","Flaska","","","Australien","Orlando",NA,"12.50%",0,0,"",0,"",0.0757575757575758
"5945",268395,"De Bortoli","Gewürztraminer Riesling",79,750,105.33,"Vitt vin","Druvigt & Blommigt","Flaska","Skruvkapsyl","South Eastern Australia","Australien","De Bortoli",2018,"12.00%",0,0,"",0,"Gewürztraminer och riesling.",0.113927655938479
"5946",268578,"Kevin Arnold","Shiraz",219,750,292,"Rött vin","","Flaska","Natur","Western Cape","Sydafrika","Waterford Wines",2013,"14.00%",0,0,"",0,"94% shiraz och 6% mourvèdre.",0.0479452054794521
"5947",268671,"Ott Am Berg","Grüner Veltliner Trocken",185,750,246.67,"Vitt vin","","Flaska","","Niederösterreich","Österrike","Bernhard Ott",2018,"12.00%",0,0,"",0,"",0.0486479912433616
"5948",2696678,"Champagne de Castelnau","Millésime Brut",429,750,572,"Mousserande vin","Torrt vitt","Flaska","","Champagne","Frankrike","Champagne Castelnau",2004,"12.50%",0,0,"",0,"",0.0218531468531469
"5949",2696686,"Estate Argyros","Vinsa'nto",329,500,658,"Vitt vin","Sött","Flaska","","Aegean Islands","Grekland","Estate Argyros",2010,"13.00%",0,0,"",0,"",0.0197568389057751
"5950",2696694,"Arilds Vingård Solaris","",149,750,198.67,"Vitt vin","Friskt & Fruktigt","Flaska","","Skåne län","Sverige","Arilds vingård",2016,"14.00%",0,0,"",0,"Solaris.",0.0704686162983843
"5951",270114,"Errazuriz","Cabernet Sauvignon Rosé",48,375,128,"Rosévin","Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Valle Central","Chile","Errazuriz",2018,"12.50%",0,0,"",0,"95% cabernet sauvignon och 5% malbec.",0.09765625
"5952",27024,"Retsina Cambas","",109,750,145.33,"Vitt vin","","Flaska","","","Grekland","Boutari",NA,"11.50%",0,0,"",0,"",0.0791302552810844
"5953",271009,"A Christmann","Riesling",139,750,185.33,"Vitt vin","Friskt & Fruktigt","Flaska","Skruvkapsyl","Pfalz","Tyskland","A Christmann",2017,"12.00%",1,0,"",0,"Riesling.",0.0647493659957913
"5954",271209,"Gini","Soave Classico",189,750,252,"Vitt vin","","Flaska","","Venetien","Italien","Gini",2016,"12.50%",1,0,"",0,"",0.0496031746031746
"5955",27150,"Viña Albali","Gran Reserva",89,750,118.67,"Rött vin","Kryddigt & Mustigt","Flaska","Naturkork","Kastilien-La Mancha","Spanien","Felix Solis",2011,"13.00%",0,0,"",0,"Tempranillo.",0.109547484621219
"5956",271665,"La Bastide Blanche","",189,750,252,"Rött vin","Stramt & Nyanserat","Flaska","Natur","Provence","Frankrike","Earl Bronzo",2016,"14.50%",1,0,"",0,"70% mourvèdre, 25% grenache, 3% cinsault och 2% carignan.",0.0575396825396825
"5957",271700,"Barbera d'Alba","Luigi Voghera",119,750,158.67,"Rött vin","Fruktigt & Smakrikt","Flaska","Natur","Piemonte","Italien","Luigi Voghera",2017,"14.00%",0,0,"",0,"Barbera.",0.0882334404739396
"5958",27177,"Regolo","Rosso",159,750,212,"Rött vin","","Flaska","Naturkork","Venetien","Italien","Sartori",2016,"13.50%",0,0,"",0,"",0.0636792452830189
"5959",271835,"Errazuriz MAX","Reserva Cabernet Sauvignon",149,750,198.67,"Rött vin","","Flaska","Naturkork","Aconcagua","Chile","Viña Errázuriz",2016,"14.00%",0,0,"",0,"",0.0704686162983843
"5960",272049,"Château la Reyne","Prestige",99,750,132,"Rött vin","Stramt & Nyanserat","Flaska","Natur","Frankrike sydväst","Frankrike","Château La Reyne",2014,"13.00%",0,0,"",0,"Cot noir (malbec).",0.0984848484848485
"5961",272052,"A","Amarone",109,375,290.67,"Rött vin","Kryddigt & Mustigt","Flaska","Natur","Venetien","Italien","Alpha Zeta",2016,"15.00%",0,0,"",0,"70% corvina veronese, 25% rondinella och 5% cabernet sauvignon.",0.0516049127876974
"5962",272067,"A","Amarone",199,750,265.33,"Rött vin","Kryddigt & Mustigt","Flaska","Natur","Venetien","Italien","Alpha Zeta",2016,"15.00%",0,0,"",0,"70% corvina veronese, 25% rondinella och 5% cabernet sauvignon.",0.0565333735348434
"5963",272080,"Fontanafredda Ebbio","Langhe Nebbiolo",119,750,158.67,"Rött vin","Kryddigt & Mustigt","Flaska","Skruvkapsyl","Piemonte","Italien","Fontanafredda",2016,"13.50%",0,0,"",0,"Nebbiolo.",0.0850822461712989
"5964",272113,"Geisweiler","Crémant de Bourgogne Brut",119,750,158.67,"Mousserande vin","Torrt vitt","Flaska","Natur","Bourgogne","Frankrike","Geisweiler",NA,"12.00%",0,0,"",0,"Pinot noir och chardonnay.",0.0756286632633768
"5965",272117,"Finca el Puig","",219,750,292,"Rött vin","Stramt & Nyanserat","Flaska","Natur","Katalonien","Spanien","Cellers Fuentes",2012,"15.00%",0,0,"",0,"Grenache, syrah, carignan och cabernet sauvignon.",0.0513698630136986
"5966",272120,"Orballo","Albariño",109,750,145.33,"Vitt vin","Friskt & Fruktigt","Flaska","Skruvkapsyl","Galicien","Spanien","Bodegas La Val",2017,"12.50%",0,0,"",0,"Albariño.",0.086011147044657
"5967",272536,"Pepperwood Grove","Chardonnay",109,750,145.33,"Vitt vin","","Flaska","","Kalifornien","USA","Don Sebastiani & Sons",2014,"13.50%",0,0,"",0,"",0.0928920388082295
"5968",272731,"Raccolto","Nero d'Avola Cabernet Sauvignon Organic",50,375,133.33,"Rött vin","Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Sicilien","Italien","Nordic Sea Winery",2018,"14.50%",1,0,"",0,"60% nero d'avola och 40% cabernet sauvignon.",0.10875271881797
"5969",272743,"Brunello di Montalcino","",159,375,424,"Rött vin","Kryddigt & Mustigt","Flaska","Natur","Toscana","Italien","Col d'Orcia",2014,"14.50%",1,0,"",0,"Brunello (sangiovese grosso).",0.0341981132075472
"5970",272817,"Robert Mondavi","Private Selection Chardonnay",129,750,172,"Vitt vin","","Flaska","","Kalifornien","USA","Robert Mondavi",2015,"13.50%",0,0,"",0,"",0.0784883720930233
"5971",273290,"Poggio al Vento","Riserva",849,750,1132,"Rött vin","","Flaska","","Toscana","Italien","Col d'Orcia",2012,"14.50%",0,0,"",0,"",0.0128091872791519
"5972",273300,"Domaine Gerovassiliou","Viognier",224,750,298.67,"Vitt vin","","Flaska","","Makedonien","Grekland","Domaine Gerovassiliou",2016,"13.00%",0,0,"",0,"",0.0435262999296883
"5973",273766,"Palmer & Co","Brut",4779,6000,796.5,"Mousserande vin","Torrt vitt","Flaska","","Champagne","Frankrike","Palmer & Co",NA,"12.00%",0,0,"",0,"",0.0150659133709981
"5974",273772,"Palmer & Co","Brut",2089,3000,696.33,"Mousserande vin","Torrt vitt","Flaska","","Champagne","Frankrike","Palmer & Co",NA,"12.00%",0,0,"",0,"",0.0172332083925725
"5975",273778,"Boutari","Chardonnay",159,750,212,"Vitt vin","","Flaska","","Makedonien","Grekland","Boutari",2015,"12.50%",0,0,"",0,"",0.0589622641509434
"5976",274117,"Louis Bouillot","Crémant de Bourgogne Blanc de Noirs Brut",169,750,225.33,"Mousserande vin","","Flaska","","Bourgogne","Frankrike","Louis Bouillot",NA,"12.00%",0,0,"",0,"",0.0532552256690188
"5977",274186,"Tabalí","Reserva Especial Pinot Noir",129,750,172,"Rött vin","","Flaska","","Coquimbo","Chile","Viña Tabalí",2013,"13.50%",0,0,"",0,"",0.0784883720930233
"5978",274843,"Pinot Blanc d'Alsace","",159,750,212,"Vitt vin","","Flaska","","Alsace","Frankrike","Domaine Paul Blanck",2015,"12.50%",0,0,"",0,"",0.0589622641509434
"5979",27485,"Hubert Beck","Réserve du Chevalier Pinot Gris",99,750,132,"Vitt vin","Druvigt & Blommigt","Flaska","Plast","Alsace","Frankrike","Hubert Beck",2017,"13.00%",0,0,"",0,"Pinot gris.",0.0984848484848485
"5980",27562,"Chablis","La Sereine",169,750,225.33,"Vitt vin","","Flaska","","Bourgogne","Frankrike","La Chablisienne",2014,"12.50%",0,0,"",0,"",0.0554741934052279
"5981",27563,"Chablis","Premier Cru Mont de Milieu",289,750,385.33,"Vitt vin","","Flaska","","Bourgogne","Frankrike","La Chablisienne",2015,"13.00%",0,0,"",0,"",0.033737316066748
"5982",27570,"Thou Bianc","Chardonnay",164,750,218.67,"Vitt vin","","Flaska","","Piemonte","Italien","Bava",2016,"13.00%",0,0,"",0,"",0.0594503132574199
"5983",2760,"Château Bonnet","",89,750,118.67,"Vitt vin","Friskt & Fruktigt","Flaska","Skruvkapsyl","Bordeaux","Frankrike","André Lurton",2017,"12.50%",0,0,"",0,"Sauvignon blanc, semillon och muscadelle.",0.105334119828095
"5984",27602,"Deutz","Brut Classic",2050,3000,683.33,"Mousserande vin","Torrt vitt","Flaska","","Champagne","Frankrike","Deutz",NA,"12.00%",0,0,"",0,"",0.0175610612734696
"5985",27603,"Deutz","Brut Classic",4300,6000,716.67,"Mousserande vin","Torrt vitt","Flaska","","Champagne","Frankrike","Deutz",NA,"12.00%",0,0,"",0,"",0.0167441081669388
"5986",27608,"Husets Röda","",69,1000,69,"Rött vin","Mjukt & Bärigt","Papp","","","Spanien","Åkesson Vin",NA,"13.00%",1,0,"",0,"",0.188405797101449
"5987",276166,"Gustave Lorentz","Riesling Réserve",59,375,157.33,"Vitt vin","Druvigt & Blommigt","Flaska","Plast","Alsace","Frankrike","Gustave Lorentz",2018,"12.50%",0,0,"",0,"Riesling.",0.0794508358227928
"5988",276269,"Delas Les Launes","Crozes-Hermitage",87,375,232,"Rött vin","Kryddigt & Mustigt","Flaska","Naturkork","Rhonedalen","Frankrike","Delas",2017,"13.00%",0,0,"",0,"Syrah.",0.0560344827586207
"5989",276439,"André Clouet","Grande Réserve",639,1500,426,"Mousserande vin","Torrt vitt","Magnum","Natur","Champagne","Frankrike","André Clouet",NA,"12.00%",0,0,"",0,"",0.028169014084507
"5990",27657,"Château de Seguin","Cuvée Prestige",149,750,198.67,"Rött vin","Fruktigt & Smakrikt","Flaska","Naturkork","Bordeaux","Frankrike","Bordeauxslott",2016,"13.50%",0,0,"",0,"75% merlot och 25% cabernet sauvignon.",0.0679518800020134
"5991",277047,"Baron de Chirel","Reserva",699,750,932,"Rött vin","","Flaska","","Rioja","Spanien","Marqués de Riscal",2012,"13.50%",0,0,"",0,"",0.0144849785407725
"5992",277116,"McManis","Pinot Noir",109,750,145.33,"Rött vin","","Flaska","","Kalifornien","USA","McManis Family Vineyards",2017,"13.50%",0,0,"",0,"",0.0928920388082295
"5993",278171,"Sincérité","Sauvignon Blanc",109,750,145.33,"Vitt vin","","Flaska","","Loiredalen","Frankrike","Joseph Mellot",2015,"12.00%",0,0,"",0,"",0.0825707011628707
"5994",278187,"Sancerre","La Chatellenie",229,750,305.33,"Vitt vin","","Flaska","","Loiredalen","Frankrike","Joseph Mellot",2015,"13.00%",0,0,"",0,"",0.0425768840271182
"5995",27901,"Chablis","Premier Cru Montée de Tonnerre",289,750,385.33,"Vitt vin","","Flaska","","Bourgogne","Frankrike","La Chablisienne",2015,"13.00%",0,0,"",0,"",0.033737316066748
"5996",279352,"Goumenissa","",123,750,164,"Rött vin","","Flaska","","Makedonien","Grekland","Boutari",2012,"13.00%",0,0,"",0,"",0.0792682926829268
"5997",279890,"Ayala","Brut Majeur",399,750,532,"Mousserande vin","Torrt vitt","Flaska","","Champagne","Frankrike","Ayala",NA,"12.00%",0,0,"",0,"",0.0225563909774436
"5998",280100,"Fasoli Gino","Soave Borgoletto",59,375,157.33,"Vitt vin","Friskt & Fruktigt","Flaska","Natur","Venetien","Italien","Fasoli Gino",2016,"12.50%",1,0,"",0,"Huvudsakligen garganega.",0.0794508358227928
"5999",280404,"Soave Righetti","",91,750,121.33,"Vitt vin","","Flaska","","Venetien","Italien","Luigi Righetti",2015,"12.00%",0,0,"",0,"",0.0989038160389022
"6000",28110,"Asti Araldica","",69,750,92,"Mousserande vin","Sött vitt","Flaska","Champagnekork-natur","Piemonte","Italien","Araldica Vini Piemontesi",NA,"7.00%",0,0,"",0,"Moscato (muskat).",0.0760869565217391
"6001",2817052,"Avantis","Dolphins Assyrtiko",199,750,265.33,"Vitt vin","","Flaska","","Aegean Islands","Grekland","Avantis Estate",2016,"13.50%",0,0,"",0,"",0.0508800361813591
"6002",2817057,"Beaujolais-Villages","Cuvée à l'Ancienne",193,750,257.33,"Rött vin","","Flaska","","Bourgogne","Frankrike","Domaine Joubert",2016,"12.00%",0,0,"",0,"",0.0466327284032177
"6003",2817061,"Estate Argyros","Aidani",215,750,286.67,"Vitt vin","","Flaska","","Aegean Islands","Grekland","Estate Argyros",2016,"13.00%",0,0,"",0,"",0.0453483099033732
"6004",2817062,"Argyros","Assyrtiko",199,750,265.33,"Vitt vin","","Flaska","","Aegean Islands","Grekland","Estate Argyros",2016,"13.50%",0,0,"",0,"",0.0508800361813591
"6005",2817066,"Barefoot","Chardonnay",89,750,118.67,"Vitt vin","","Flaska","","Kalifornien","USA","Barefoot Cellars",NA,"13.50%",0,0,"",0,"",0.113760849414342
"6006",2817067,"Moonseng","",115,750,153.33,"Rött vin","","Flaska","","Frankrike sydväst","Frankrike","Plaimont Producteurs",2016,"13.00%",0,0,"",0,"",0.0847844518359095
"6007",2817068,"Rosé d´Enfer","",219,1500,146,"Rosévin","","Magnum","","Frankrike sydväst","Frankrike","Plaimont Producteurs",2017,"12.00%",0,0,"",0,"",0.0821917808219178
"6008",2817070,"Rheingau Riesling","Retro Qba Trocken",89,750,118.67,"Vitt vin","","Flaska","","Rheingau","Tyskland","Weinland Rheingau EG",2016,"12.00%",0,0,"",0,"",0.101120755034971
"6009",2817071,"Villa Conchi","Cava Brut Selección",109,750,145.33,"Mousserande vin","Torrt vitt","Flaska","Champagnekork-natur","Cava","Spanien","Villa Conchi",NA,"11.50%",0,0,"",0,"30% macabeu, 30% xarel-lo, 30% parellada och 10% chardonnay.",0.0791302552810844
"6010",2817072,"Cattier","Cuvée Renaissance Premier Cru Brut",543,750,724,"Mousserande vin","Torrt vitt","Flaska","","Champagne","Frankrike","Champagne Cattier",2008,"12.50%",0,0,"",0,"",0.0172651933701657
"6011",2817073,"Le Bertille","Rosso di Montepulciano",119,750,158.67,"Rött vin","","Flaska","","Toscana","Italien","Le Bertille",2014,"13.00%",0,0,"",0,"",0.0819310518686582
"6012",2817074,"Rainer Mattes","Trittenheimer Apotheke Riesling Spätlese Feinherb",149,750,198.67,"Vitt vin","","Flaska","","Mosel","Tyskland","Weingut Rainer Mattes",2015,"12.00%",0,0,"",0,"",0.0604016711129008
"6013",28208,"Husets Vita","",69,1000,69,"Vitt vin","Lätt & Avrundat","Papp","","","Spanien","Åkesson Vin",NA,"12.00%",1,0,"",0,"",0.173913043478261
"6014",282145,"Umbala Grande Reserve","Cabernet Sauvignon Shiraz Pinotage",69,750,92,"Rött vin","Fruktigt & Smakrikt","Flaska","","Western Cape","Sydafrika","Nordic Sea Winery",2016,"14.00%",0,0,"",0,"",0.152173913043478
"6015",28244,"Don Melchor","Cabernet Sauvignon",699,750,932,"Rött vin","","Flaska","","Valle Central","Chile","Concha y Toro",2016,"14.50%",0,0,"",0,"",0.0155579399141631
"6016",282648,"Guardian Peak","Summit",199,750,265.33,"Rött vin","","Flaska","","Western Cape","Sydafrika","Guardian Peak",2014,"14.50%",0,0,"",0,"",0.0546489277503486
"6017",2836663,"La Linda","Old Vines Malbec",149,750,198.67,"Rött vin","","Flaska","","Cuyo","Argentina","Bodega Luigi Bosca-Familia Arizu",2014,"14.00%",0,0,"",0,"",0.0704686162983843
"6018",2836668,"Terres d´Artagnan","",96,750,128,"Rött vin","","Flaska","","Frankrike sydväst","Frankrike","Plaimont Producteurs",2016,"13.00%",0,0,"",0,"",0.1015625
"6019",28370,"Brumaire Novembre","",229,500,458,"Vitt vin","Sött","Flaska","","Frankrike sydväst","Frankrike","Alain Brumont",2009,"13.00%",0,0,"",0,"",0.0283842794759825
"6020",283815,"Château Margaux","",7690,750,10253.33,"Rött vin","","Flaska","","Bordeaux","Frankrike","Bordeauxslott",2006,"12.00%",0,0,"",0,"",0.00117035148580998
"6021",28402,"Les Fumées Blanches","Sauvignon Blanc",89,750,118.67,"Vitt vin","Friskt & Fruktigt","Flaska","Skruvkapsyl","","Frankrike","François Lurton",2018,"11.50%",0,0,"",0,"Sauvignon blanc.",0.0969073902418471
"6022",284278,"Crozes-Hermitage","Papillon",169,750,225.33,"Rött vin","","Flaska","","Rhonedalen","Frankrike","Gilles Robin",2016,"13.00%",0,0,"",0,"",0.057693161141437
"6023",284373,"Château Trotanoy","",2367,750,3156,"Rött vin","","Flaska","","Bordeaux","Frankrike","Bordeauxslott",2006,"12.00%",0,0,"",0,"",0.00380228136882129
"6024",284426,"Château Providence","",2248,750,2997.33,"Rött vin","","Flaska","","Bordeaux","Frankrike","Bordeauxslott",2006,"12.00%",0,0,"",0,"",0.00400356317122239
"6025",284593,"La Gascogne par Alain Brumont","Tannat Merlot",99,750,132,"Rött vin","","Flaska","","Frankrike sydväst","Frankrike","Alain Brumont",2014,"14.00%",0,0,"",0,"",0.106060606060606
"6026",2848040,"Bleu de Mer","",151,750,201.33,"Rosévin","","Flaska","","","Frankrike","Bernard Magrez",2016,"12.50%",0,0,"",0,"",0.0620871206476928
"6027",2848041,"19 Crimes","red blend",99,750,132,"Rött vin","Fruktigt & Smakrikt","Flaska","","South Eastern Australia","Australien","19 Crimes",2018,"13.50%",0,0,"",0,"",0.102272727272727
"6028",2848046,"Matua","Sauvignon Blanc",189,1500,126,"Vitt vin","Friskt & Fruktigt","Box","Vingtapp","Marlborough","Nya Zeeland","Matua Valley Wines",2017,"13.00%",0,0,"",0,"Sauvignon blanc.",0.103174603174603
