"","Artikelid","Namn","Namn2","Prisinklmoms","Volymiml","PrisPerLiter","Varugrupp","Typ","Forpackning","Forslutning","Ursprung","Ursprunglandnamn","Producent","Argang","Alkoholhalt","Ekologisk","Etiskt","EtisktEtikett","Koscher","RavarorBeskrivning","APK"
"52",1008924,"Mizzon","Valpolicella Ripasso Classico Superiore",229,750,305.33,"Rött vin","","Flaska","Naturkork","Venetien","Italien","Mizzon di Perusi Nicola",2013,"14.00%",0,0,"",0,"",0.0458520289522811
"53",1008953,"Macho Man","Monastrell",210,750,280,"Rött vin","","Flaska","","Murcia","Spanien","Casa Rojo",2013,"14.00%",0,0,"",0,"",0.05
"54",10091,"Sancerre","l'Ancienne Vigne",234,750,312,"Vitt vin","","Flaska","","Loiredalen","Frankrike","Fournier Père & Fils",2015,"12.50%",0,0,"",0,"",0.0400641025641026
"55",1009117,"Cinclus SC","",147,750,196,"Vitt vin","","Flaska","","","Spanien","DG Viticultors",2011,"13.50%",0,0,"",0,"",0.0688775510204082
"56",1009158,"DG Viticultors","Cava Brut Reserva Chardonnay",171,750,228,"Mousserande vin","Torrt vitt","Flaska","","Cava","Spanien","DG Viticultors",2012,"12.50%",0,0,"",0,"",0.0548245614035088
"57",1009203,"Le Cadran de Fombrauge","",279,750,372,"Rött vin","","Flaska","","Bordeaux","Frankrike","Bernard Magrez",2011,"14.00%",0,0,"",0,"",0.0376344086021505
"58",1009252,"Si Mon Père Savait","",179,750,238.67,"Rött vin","","Flaska","","Languedoc-Roussillon","Frankrike","Bernard Magrez",2013,"13.50%",0,0,"",0,"",0.0565634558176562
"59",1009306,"Von Winning","Sauvignon Blanc 2 Trocken",159,750,212,"Vitt vin","","Flaska","","Pfalz","Tyskland","Von Winning",2016,"12.00%",0,0,"",0,"",0.0566037735849057
"60",1009797,"Barolo","Villaforte",189,750,252,"Rött vin","Stramt & Nyanserat","Flaska","Natur","Piemonte","Italien","Mare Magnum",2014,"14.00%",0,0,"",0,"Nebbiolo.",0.0555555555555556
"61",1009825,"Masi Costasera","Amarone Classico Riserva",1049,1500,699.33,"Rött vin","","Magnum","","Venetien","Italien","Masi Agricola Spa",2006,"15.50%",0,0,"",0,"",0.0221640713254115
"62",10104356,"Prüm Blue","Riesling Kabinett Trocken",159,750,212,"Vitt vin","","Flaska","","Mosel","Tyskland","S.A. Prüm",2016,"11.50%",0,0,"",0,"",0.0542452830188679
"63",10104358,"Chianti","Castelsina Riserva",109,750,145.33,"Rött vin","Kryddigt & Mustigt","Flaska","Natur","Toscana","Italien","Cantina Senesi Aretini",2015,"13.50%",0,0,"",0,"Sangiovese.",0.0928920388082295
