product_name,taste_body,taste_freshness,taste_tanins,taste_bitternes,taste_sweetnes,alchohol
Giacosa Fratelli Gavi 2016,6,7,0,0,1,13
Odoardi Savuto Calabria 2014,7,6,4,0,0,13.5
Mastrojanni Brunello di Montalcino 2013,6,6,7,0,0,15
Mastrojanni Brunello di Montalcino Vigna Schiena d'Asino 2013,7,6,7,0,0,14
Mastrojanni Rosso di Montalcino 2017,7,7,7,0,0,14.5
Ca'stella Pinot Grigio 2015,3,7,0,0,1,12.5
Niepoort Bioma Douro 2015,8,8,7,0,0,12.5
Szepsy Szamorodni 2008,5,4,0,0,7,11.5
Novaia Valpolicella Classico Superiore Ripasso 2013,6,6,6,0,0,13.5
Fontanafredda Silver Barolo 2014,9,8,8,0,0,13.5
Montesecondo 2016,6,8,6,0,0,12
Fatt. di Lucignano Chianti Colli Fiorentini 2016,6,8,6,0,0,13.5
Fattoria di Lucignano Vin Santo 2006,8,8,0,0,8,15
Gran Coronas Reserva 2014,8,8,8,0,0,14
Gran Coronas Reserva 2013,8,7,7,0,0,14
Some Young Punks The Squid's Fist 2017,7,7,7,0,0,14.2
"Some Young Punks Monsters, Monsters Attack! 2015",8,9,0,0,1,11.4
Some Young Punks Passion has Red Lips 2017,9,8,8,0,0,14.5
Rosso dei Barbi Toscana,8,9,6,0,0,12.5
Castell'in Villa Poggio delle Rose Riserva 2009,6,8,6,0,0,14.5
Castell'in Villa Poggio delle Rose Riserva 2009,6,8,7,0,0,14
Castell'in Villa Chianti Classico Riserva 2010,6,7,6,0,0,14
Castell'in Villa Vin Santo 1998,6,8,0,0,9,13
Croft Original,6,5,0,0,7,17.5
Angiolino Maule Merlot 2015,6,7,6,0,0,14.5
Angiolino Maule Pico 2016,5,8,0,0,1,13.5
Montesecondo Tïn 2015,6,7,6,0,0,14
Montesecondo Tïn 2011,6,7,6,0,0,12
Montesecondo Chianti Classico 2015,6,7,6,0,0,13
Allram Heiligenstein Riesling 2015,5,7,0,0,2,13
Aldrighetti Le Bignele Valpolicella Classico Superiore 2014,6,5,5,0,0,13
Dom. du Pegau Chateauneuf du Pape Cuvee Reservee 2015,9,9,8,0,0,14
Dom. du Pegau Chateauneuf du Pape Cuvee Laurence 2011,10,9,9,0,0,14.5
Lindeman's Bin 99 Pinot Noir 2015,7,7,6,0,0,13.5
Manincor Mason Pinot Nero 2016,6,7,4,0,0,14
Chanson Santenay 2012,8,9,8,0,0,12.5
Petit Pissarres 2016,8,8,8,0,0,14.5
St Feuillien Nöel,10,4,0,4,7,9
St Feuillien Nöel 2012,10,8,0,4,6,9
Hornbeer Julehumle,8,4,0,8,5,6
Hornbeer Winterporter,10,4,0,5,0,8.6
Fanø Bryghus Julebryg,9,5,0,5,0,7.5
Gramona III Lustros Gran Reserva 2011,8,8,0,0,1,12
Vellagret Mack Jule¯l 2017,9,6,0,7,9,6.5
Smalhans hvitvin 2018,5,7,0,0,1,12
Venturini Min Amarone Bjørn Eidsvåg 2008,11,10,5,0,0,16
Tinto Selecto,5,7,6,0,0,11.5
Crasto Superior 2015,10,8,8,0,0,14.5
